,0,1,2,3
0,12,14,16,167.12499844038751
1,11,13,15,176.98721249581666
2,23,25,27,67.41308496106564
3,24,26,28,28.839139945805016
4,24,12,14,78.67315613936549
5,23,11,13,108.95818340510618
6,12,24,26,154.3763440459432
7,11,23,25,79.91061768450611
